ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
힘들었는데 끝나니까 개운하더라.,是累啦，但弄完覺得很舒暢。,sentence,,,himdeureonneunde kkeunnanikka gaeunhadeora,對話 B｜聊週末｜★ -는데＝雖然…但（轉折）；-니까＝…之後發現。兩個都是口語高頻連接,,,"生活,口語,療癒"
너 무슨 띠야?,你屬什麼的？,sentence,,,neo museun ttiya,對話 A｜聊運勢｜너＝你（半語）。-야 是 -예요 的半語,,,"文化,口語"
나 호랑이띠. 사주 본 적 있어?,我屬虎。你算過命嗎？,sentence,,,na horangitti saju bon jeok isseo,對話 B｜聊運勢｜-ㄴ 적 있다＝有過…的經驗。★ 這個句型問經驗最常用,,,"文化,口語"
"응, 재미로 한 번 봤어.",嗯，抱著好玩的心態算過一次。,sentence,,,eung jaemiro han beon bwasseo,對話 A｜聊運勢｜재미로＝當作好玩。응＝嗯（半語的「是」，敬語是 네）,,,"文化,口語"
뭐라고 했는데?,它說什麼？,sentence,,,mworago haenneunde,對話 B｜聊運勢｜★ -는데? 結尾把話留一半，等對方接下去，是很自然的追問方式,,,"文化,口語"
영상 편집 다 했어?,影片剪完了嗎？,sentence,,,yeongsang pyeonjip da haesseo,對話 A｜聊剪片｜다＝全部。다 했어?＝都做完了嗎,,,"學習,口語"
아직. 썸네일이 제일 어려워.,還沒。縮圖最難。,sentence,,,ajik sseomneiri jeil eoryeowo,對話 B｜聊剪片｜★ 只回一個 아직 就是完整的答句，韓語口語常這樣省略,,,"學習,口語"
천천히 해. 급할 거 없잖아.,慢慢來。又不急嘛。,sentence,,,cheoncheonhi hae geuphal geo eopjana,對話 A｜聊剪片｜-잖아＝-잖아요 的半語。「又不…嘛」的語氣就靠它,,,"學習,口語,溫暖"
고마워. 오늘 안에 끝내 볼게.,謝謝。今天之內試試看弄完。,sentence,,,gomawo oneul ane kkeunnae bolge,對話 B｜聊剪片｜-아/어 볼게＝我試試看。比直接說 끝낼게 保留餘地,,,"學習,口語"
요즘 좀 지쳤어.,最近有點累了。,sentence,,,yojeum jom jichyeosseo,對話 A｜安慰朋友｜지치다＝精疲力盡，比 피곤하다 更重、更持續,,,"溫暖,口語,情緒"
무리하지 마. 좀 쉬어.,別逞強。休息一下。,sentence,,,murihaji ma jom swieo,對話 B｜安慰朋友｜★ 敬語版 무리하지 마세요 已收。對朋友用半語更貼近,,,"溫暖,口語,關心"
고마워. 네가 있어서 다행이야.,謝謝。還好有你。,sentence,,,gomawo nega isseoseo dahaengiya,對話 A｜安慰朋友｜다행이다＝還好、幸好。네가＝你（主格），口語常唸成 [니가],,,"溫暖,口語,情緒"
언제든지 말해. 들어 줄게.,隨時跟我說。我會聽。,sentence,,,eonjedeunji malhae deureo julge,對話 B｜安慰朋友｜언제든지＝隨時。-아/어 줄게＝我會為你做…,,,"溫暖,口語,關心"
