ko,zh,romanization,type,pos,example_ko,example_zh,note,tags
적다,少,jeokda,單字,형용사,,,,形容
예쁘다,漂亮,yeppeuda,單字,형용사,,,多用於女性或物品,形容
멋있다,帥,meositda,單字,형용사,,,,形容
가다,去,gada,單字,동사,어디에 가요?,你要去哪裡？,原形；活用為 가요,動詞
오다,來,oda,單字,동사,친구가 와요.,朋友來了。,,動詞
먹다,吃,meokda,單字,동사,뭘 먹고 싶어요?,你想吃什麼？,,動詞
마시다,喝,masida,單字,동사,물을 마셔요.,喝水。,,動詞
보다,看,boda,單字,동사,영화를 봐요.,看電影。,,動詞
듣다,聽,deutda,單字,동사,음악을 들어요.,聽音樂。,ㄷ 不規則,動詞
말하다,說,malhada,單字,동사,,,,動詞
읽다,讀,ikda,單字,동사,책을 읽어요.,看書。,,動詞
쓰다,寫,sseuda,單字,동사,,,也有「使用」和「戴」的意思,動詞
자다,睡,jada,單字,동사,,,,動詞
일어나다,起床,ireonada,單字,동사,,,,動詞
공부하다,學習,gongbuhada,單字,동사,한국어를 공부해요.,學韓語。,,動詞
일하다,工作,ilhada,單字,동사,,,,動詞
사다,買,sada,單字,동사,,,,動詞
만나다,見面,mannada,單字,동사,친구를 만나요.,和朋友見面。,,動詞
좋아하다,喜歡,joahada,單字,동사,한국 음식을 좋아해요.,我喜歡韓國菜。,,動詞
알다,知道,alda,單字,동사,,,,動詞
모르다,不知道,moreuda,單字,동사,잘 모르겠어요.,我不太清楚。,르 不規則,動詞
있다,有／在,itda,單字,동사,시간이 있어요?,你有時間嗎？,,動詞
없다,沒有／不在,eopda,單字,동사,돈이 없어요.,沒有錢。,,動詞
하다,做,hada,單字,동사,뭐 해요?,你在做什麼？,最常用的動詞,動詞
저는 대만 사람이에요.,我是台灣人。,jeoneun daeman saramieyo,句子,,,,自我介紹必備,自我介紹
이름이 뭐예요?,你叫什麼名字？,ireumi mwoyeyo,句子,,,,,自我介紹
어디에서 왔어요?,你從哪裡來？,eodieseo wasseoyo,句子,,,,,自我介紹
한국어를 배우고 있어요.,我正在學韓語。,hangugeoreul baeugo isseoyo,句子,,,,,自我介紹
한국어를 조금 할 수 있어요.,我會說一點韓語。,hangugeoreul jogeum hal su isseoyo,句子,,,,對方就會放慢語速,實用
다시 한 번 말해 주세요.,請再說一次。,dasi han beon malhae juseyo,句子,,,,聽不懂時的救命句,實用
천천히 말해 주세요.,請說慢一點。,cheoncheonhi malhae juseyo,句子,,,,比上一句更有效,實用
무슨 뜻이에요?,是什麼意思？,museun tteusieyo,句子,,,,,實用
알겠습니다.,我知道了。,algetseumnida,句子,,,,,實用
잘 모르겠어요.,我不太清楚。,jal moreugesseoyo,句子,,,,比 몰라요 委婉,實用
영어 할 수 있어요?,你會說英文嗎？,yeongeo hal su isseoyo,句子,,,,,實用
화장실이 어디예요?,洗手間在哪裡？,hwajangsiri eodiyeyo,句子,,,,旅行第一句,實用
도와주세요.,請幫幫我。,dowajuseyo,句子,,,,,實用
배고파요.,我餓了。,baegopayo,句子,,,,,日常
피곤해요.,我累了。,pigonhaeyo,句子,,,,,日常
정말 맛있어요.,真好吃。,jeongmal masisseoyo,句子,,,,韓國人聽了會很開心,用餐
시간이 없어요.,沒有時間。,sigani eopseoyo,句子,,,,,日常
괜찮으세요?,你還好嗎？,gwaenchaneuseyo,句子,,,,關心對方時用,日常
